,date,time,data_set,is_down_sample,down_sample_amount,n_points,n_clusters,clustering_algorithm,classification_metrics,f1,jaccard,precision,recall,mean_abs,mean_sqr,clustering_metrics,db,rand
1524,2022-08-30,01:22:12,raw,True,0.075,136979,931,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7706885660138977,0.6269270298047277,0.9188876013904984,0.6636538622478868,0.03445053621358018,0.03445053621358018,"['db', 'rand']",0.8263470889717908,0.16027489804344244
1528,2022-08-30,01:22:12,raw,True,0.075,136979,932,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7725709794675312,0.6294221226188571,0.9351884885242002,0.6581303874801239,0.03380080158272436,0.03380080158272436,"['db', 'rand']",0.8268451669062702,0.16027651611213525
1532,2022-08-30,01:22:12,raw,True,0.075,136979,933,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7639286066462873,0.6180295173514161,0.9296771870874836,0.6483387731190895,0.034954263062221214,0.034954263062221214,"['db', 'rand']",0.8242121154533061,0.16027141354636948
1536,2022-08-30,01:22:12,raw,True,0.075,136979,934,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7774066797642435,0.6358669452032781,0.940910712162644,0.6623148380617625,0.033085363449871875,0.033085363449871875,"['db', 'rand']",0.8260527727456093,0.16027752948361496
1540,2022-08-30,01:22:12,raw,True,0.075,136979,935,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7615134051616137,0.6148741603949178,0.9490382213339996,0.6358691103858063,0.03474255177800977,0.03474255177800977,"['db', 'rand']",0.8274756367585726,0.16026953805765734
1544,2022-08-30,01:22:12,raw,True,0.075,136979,936,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7719863347974623,0.6286463715125984,0.9260039807985012,0.6618963930035986,0.034107417925375416,0.034107417925375416,"['db', 'rand']",0.8276062776779531,0.16027310633615274
1548,2022-08-30,01:22:12,raw,True,0.075,136979,937,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7718773373223635,0.6285018270401949,0.9548482605477424,0.6477529500376601,0.033399280181633684,0.033399280181633684,"['db', 'rand']",0.8283912313804311,0.16026629584451976
1552,2022-08-30,01:22:12,raw,True,0.075,136979,938,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.766834767131415,0.6218426750060141,0.9369336716201522,0.6490082852121516,0.03442863504624796,0.03442863504624796,"['db', 'rand']",0.8215100653796907,0.1602706743298751
1556,2022-08-30,01:22:12,raw,True,0.075,136979,939,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7789484097541671,0.6379324313376002,0.952346395742622,0.6589672775964516,0.032625438935895285,0.032625438935895285,"['db', 'rand']",0.8237727690802146,0.1602723361013455
1560,2022-08-30,01:22:12,raw,True,0.075,136979,940,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7833736964365146,0.6438901527461813,0.9566634476098504,0.663235417189723,0.031997605472371675,0.031997605472371675,"['db', 'rand']",0.8281313681139977,0.16027027567526966
