,date,time,data_set,is_down_sample,down_sample_amount,n_points,n_clusters,clustering_algorithm,classification_metrics,f1,jaccard,precision,recall,mean_abs,mean_sqr,clustering_metrics,db,rand
0,2022-09-09,05_28AM,raw,True,0.125,51006,100,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.5160877903260175,0.34778862722573234,0.6742761692650334,0.4180186399723853,0.08904834725326433,0.08904834725326433,"['db', 'rand']",0.4907505539014725,0.27758273808398803
1,2022-09-09,05_36AM,raw,True,0.125,51006,101,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.5160877903260175,0.34778862722573234,0.6742761692650334,0.4180186399723853,0.08904834725326433,0.08904834725326433,"['db', 'rand']",0.4811586253094162,0.26283264629006226
2,2022-09-09,05_44AM,raw,True,0.125,51006,102,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.5164039198977417,0.34807581849511776,0.6744574290484139,0.4183638246461857,0.08900913618005725,0.08900913618005725,"['db', 'rand']",0.4882137554370625,0.262838419746778
3,2022-09-09,05_52AM,raw,True,0.125,51006,103,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.5164039198977417,0.34807581849511776,0.6744574290484139,0.4183638246461857,0.08900913618005725,0.08900913618005725,"['db', 'rand']",0.483122463202403,0.2628384043713939
4,2022-09-09,06_00AM,raw,True,0.125,51006,104,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.5164039198977417,0.34807581849511776,0.6744574290484139,0.4183638246461857,0.08900913618005725,0.08900913618005725,"['db', 'rand']",0.4842917521044236,0.26283837823324097
5,2022-09-09,06_09AM,raw,True,0.125,51006,105,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.5167199148029821,0.3483630097645032,0.6746384872080089,0.41870900931998617,0.08896992510685017,0.08896992510685017,"['db', 'rand']",0.49204169830716,0.26283994959749224
6,2022-09-09,06_17AM,raw,True,0.125,51006,106,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.5167199148029821,0.3483630097645032,0.6746384872080089,0.41870900931998617,0.08896992510685017,0.08896992510685017,"['db', 'rand']",0.498273380873866,0.2575223022924817
7,2022-09-09,06_25AM,raw,True,0.125,51006,107,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.5167199148029821,0.3483630097645032,0.6746384872080089,0.41870900931998617,0.08896992510685017,0.08896992510685017,"['db', 'rand']",0.5028932405274579,0.2548754299260087
8,2022-09-09,06_33AM,raw,True,0.125,51006,108,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.5167199148029821,0.3483630097645032,0.6746384872080089,0.41870900931998617,0.08896992510685017,0.08896992510685017,"['db', 'rand']",0.5061032618871915,0.25391123651633113
9,2022-09-09,06_41AM,raw,True,0.125,51006,109,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.5167199148029821,0.3483630097645032,0.6746384872080089,0.41870900931998617,0.08896992510685017,0.08896992510685017,"['db', 'rand']",0.5029465771170027,0.2539111980778709
10,2022-09-09,06_49AM,raw,True,0.125,51006,110,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.5334316099820996,0.3637277426766226,0.6840399675938428,0.4371763893683121,0.08687213269027172,0.08687213269027172,"['db', 'rand']",0.5049851660071728,0.25397149341524383
11,2022-09-09,06_57AM,raw,True,0.125,51006,111,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.5378962838547134,0.3678920160827111,0.6864951768488746,0.4421815671384191,0.08630357212876917,0.08630357212876917,"['db', 'rand']",0.5126699495676736,0.2539949247317869
12,2022-09-09,07_06AM,raw,True,0.125,51006,112,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.561056771200968,0.3899088997897687,0.6747513946155712,0.4801518812564722,0.08534290083519586,0.08534290083519586,"['db', 'rand']",0.5070647837123122,0.2540363613918371
13,2022-09-09,07_14AM,raw,True,0.125,51006,113,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.561056771200968,0.3899088997897687,0.6747513946155712,0.4801518812564722,0.08534290083519586,0.08534290083519586,"['db', 'rand']",0.5102269555094316,0.2536711068431095
14,2022-09-09,07_22AM,raw,True,0.125,51006,114,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.5646751156708912,0.3934127540294324,0.6767116682738671,0.4844666896789783,0.08485276242010742,0.08485276242010742,"['db', 'rand']",0.5134206293801804,0.2537437555328079
15,2022-09-09,07_30AM,raw,True,0.125,51006,115,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.5646751156708912,0.3934127540294324,0.6767116682738671,0.4844666896789783,0.08485276242010742,0.08485276242010742,"['db', 'rand']",0.5146664290754415,0.2537421195919436
16,2022-09-09,07_38AM,raw,True,0.125,51006,116,cure,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.5646751156708912,0.3934127540294324,0.6767116682738671,0.4844666896789783,0.08485276242010742,0.08485276242010742,"['db', 'rand']",0.5171037536278247,0.25368706802930546
