,date,time,data_set,is_down_sample,down_sample_amount,n_points,n_clusters,clustering_algorithm,classification_metrics,f1,jaccard,precision,recall,mean_abs,mean_sqr,clustering_metrics,db,rand
444,2022-08-30,01:22:12,raw,True,0.075,136979,661,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7565927882968834,0.6084835130243174,0.910718492343934,0.6470834379445979,0.036319435825929516,0.036319435825929516,"['db', 'rand']",0.8240205703179481,0.16069750763360974
448,2022-08-30,01:22:12,raw,True,0.075,136979,662,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7486100079428119,0.5982227864170104,0.9200732153752288,0.6310151477111056,0.03696917045678535,0.03696917045678535,"['db', 'rand']",0.8236516022598791,0.16068783375730647
452,2022-08-30,01:22:12,raw,True,0.075,136979,663,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.750925697358677,0.6011857707509881,0.9156031784252348,0.6364549334672358,0.0368304630636813,0.0368304630636813,"['db', 'rand']",0.8299748075741452,0.16068745396950987
456,2022-08-30,01:22:12,raw,True,0.075,136979,664,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7447820211221783,0.5933487518940904,0.9265255292652552,0.6226462465478283,0.037224684075661235,0.037224684075661235,"['db', 'rand']",0.8314238277613867,0.16068277190973834
460,2022-08-30,01:22:12,raw,True,0.075,136979,665,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7390514631685167,0.5861075544174136,0.9305043831787576,0.6129383211984266,0.03775761248074522,0.03775761248074522,"['db', 'rand']",0.8264465088953941,0.1606768118102023
464,2022-08-30,01:22:12,raw,True,0.075,136979,666,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7563067355434073,0.6081135575449633,0.9436795994993742,0.6310151477111056,0.035472590689083726,0.035472590689083726,"['db', 'rand']",0.827825070039504,0.16067655033968165
468,2022-08-30,01:22:12,raw,True,0.075,136979,667,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7518140811923907,0.6023253986958913,0.9076595240913934,0.6416436521884676,0.03695456967856386,0.03695456967856386,"['db', 'rand']",0.8298569151624323,0.16068429351254399
472,2022-08-30,01:22:12,raw,True,0.075,136979,668,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7390354220663721,0.5860873770756085,0.9408643892339544,0.6085028035818897,0.03748749808364786,0.03748749808364786,"['db', 'rand']",0.8288687185918551,0.16067710941545854
476,2022-08-30,01:22:12,raw,True,0.075,136979,669,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7426716604244695,0.5906743982842164,0.9207528479445268,0.6223114905012972,0.037618905087641166,0.037618905087641166,"['db', 'rand']",0.8289543914736422,0.16066625162025078
480,2022-08-30,01:22:12,raw,True,0.075,136979,670,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7503096972399781,0.6003965107057889,0.9197035957240038,0.6336095070717215,0.03678666072901686,0.03678666072901686,"['db', 'rand']",0.8279714730031585,0.16067838265857684
484,2022-08-30,01:22:12,raw,True,0.075,136979,671,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7446178551713756,0.5931403901503038,0.9299323138631236,0.6208887773035401,0.03715168018455384,0.03715168018455384,"['db', 'rand']",0.8247013912865988,0.16066978642881405
488,2022-08-30,01:22:12,raw,True,0.075,136979,672,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7500974279033515,0.6001247174370566,0.8974239421844038,0.6443217005607164,0.03745099613809416,0.03745099613809416,"['db', 'rand']",0.8268559948972347,0.16068156518011578
492,2022-08-30,01:22:12,raw,True,0.075,136979,673,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7352896763477123,0.5813897954310276,0.9224551654458196,0.6112645409657712,0.038392746333379565,0.038392746333379565,"['db', 'rand']",0.8333738001546444,0.16065856259619574
496,2022-08-30,01:22:12,raw,True,0.075,136979,674,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7428173081710899,0.5908586818757922,0.9170149987705926,0.6242363377688509,0.03770650975697005,0.03770650975697005,"['db', 'rand']",0.8250702959102835,0.16065869679570066
500,2022-08-30,01:22:12,raw,True,0.075,136979,675,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.748264921673607,0.5977821782178218,0.9177915602578136,0.6316009707925351,0.0370713759043357,0.0370713759043357,"['db', 'rand']",0.827090587290093,0.16066061257624187
504,2022-08-30,01:22:12,raw,True,0.075,136979,676,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7449581289331549,0.5935723310170562,0.9131438289601554,0.6290903004435517,0.037575102752976736,0.037575102752976736,"['db', 'rand']",0.8292714747653614,0.16065702671004328
508,2022-08-30,01:22:12,raw,True,0.075,136979,677,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7534897389430376,0.6044793713163065,0.908360888049126,0.6437358774792871,0.03674285839435242,0.03674285839435242,"['db', 'rand']",0.8303373398000984,0.1606586474435396
512,2022-08-30,01:22:12,raw,True,0.075,136979,678,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.753441802252816,0.6044176706827309,0.937577871916272,0.6297598125366141,0.03595441637039254,0.03595441637039254,"['db', 'rand']",0.8264477008424435,0.16064917726481684
516,2022-08-30,01:22:12,raw,True,0.075,136979,679,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7460958938282691,0.5950183033582683,0.9237706943414876,0.6257427399782408,0.03715168018455384,0.03715168018455384,"['db', 'rand']",0.8285636208387368,0.16065422045876032
520,2022-08-30,01:22:12,raw,True,0.075,136979,680,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7612960322533064,0.6145907755814877,0.9227651966626936,0.6479203280609256,0.03544338913264077,0.03544338913264077,"['db', 'rand']",0.8231001577667006,0.16065903032250828
524,2022-08-30,01:22:12,raw,True,0.075,136979,681,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.7251682643279624,0.5688344932405408,0.927965548740702,0.5951125617206461,0.03934909730688646,0.03934909730688646,"['db', 'rand']",0.8265432375103661,0.16063638706069389
528,2022-08-30,01:22:12,raw,True,0.075,136979,682,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.746634996041172,0.5957043588123816,0.9134277757597772,0.6313499037576367,0.03737799224698676,0.03737799224698676,"['db', 'rand']",0.8275686867325802,0.16065184388039574
