,date,time,data_set,is_down_sample,down_sample_amount,n_points,n_clusters,clustering_algorithm,classification_metrics,clustering_metrics,f1,jaccard,precision,recall,mean_abs,mean_sqr,sill,db,rand
0,2022-08-29,21:52:34,raw,True,0.125,51006,55,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']","['sill', 'db', 'rand']",0.4059356136820926,0.2546544651309561,0.7479147358665431,0.27856403175699,0.09261655491510802,0.09261655491510802,0.31419901085600704,0.8304766220205974,0.2174329333338761
1,2022-08-29,21:52:34,raw,True,0.125,51006,56,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']","['sill', 'db', 'rand']",0.4726987330418209,0.30949933930406703,0.67456,0.36382464618570937,0.09220483864643376,0.09220483864643376,0.3120170921599266,0.8302076243017413,0.2177389665158076
2,2022-08-29,21:52:34,raw,True,0.125,51006,57,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']","['sill', 'db', 'rand']",0.4727806641066185,0.3095695902972933,0.6839869281045752,0.3612357611322057,0.09151864486530996,0.09151864486530996,0.30885688471554273,0.8395140786782108,0.217003593415604
3,2022-08-29,21:52:34,raw,True,0.125,51006,58,kmeans,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']","['sill', 'db', 'rand']",0.3301079792455476,0.19768223043332211,0.8803290949887809,0.2031411805315844,0.09365564835509547,0.09365564835509547,0.31233701850901696,0.8243589704639585,0.21681904883084754
